date_time,jd124,jd124b,jd125
10/1/2008 0:00,110,100,93
10/1/2008 1:00,74,36,32
10/1/2008 2:00,6,6,4
10/1/2008 3:00,0,0,0
10/1/2008 4:00,0,0,0
10/1/2008 5:00,0,0,0
10/1/2008 6:00,0,0,0
10/1/2008 7:00,0,0,0
10/1/2008 8:00,0,0,0
10/1/2008 9:00,0,0,0
10/1/2008 10:00,0,0,0
10/1/2008 11:00,0,0,0
10/1/2008 12:00,0,0,0
10/1/2008 13:00,0,0,0
10/1/2008 14:00,0,0,0
10/1/2008 15:00,55,86,34
10/1/2008 16:00,218,277,204
10/1/2008 17:00,391,468,380
10/1/2008 18:00,546,621,515
10/1/2008 19:00,579,654,502
10/1/2008 20:00,559,562,381
10/1/2008 21:00,487,502,407
10/1/2008 22:00,443,537,375
10/1/2008 23:00,340,287,263
10/2/2008 0:00,265,212,190
10/2/2008 1:00,103,47,56
10/2/2008 2:00,15,0,12
10/2/2008 3:00,0,0,0
10/2/2008 4:00,0,0,0
10/2/2008 5:00,0,0,0
10/2/2008 6:00,0,0,0
10/2/2008 7:00,0,0,0
10/2/2008 8:00,0,0,0
10/2/2008 9:00,0,0,0
10/2/2008 10:00,0,0,0
10/2/2008 11:00,0,0,0
10/2/2008 12:00,0,0,0
10/2/2008 13:00,0,0,0
10/2/2008 14:00,0,1,0
10/2/2008 15:00,31,48,28
10/2/2008 16:00,74,69,60
10/2/2008 17:00,154,217,128
10/2/2008 18:00,366,416,346
10/2/2008 19:00,216,151,172
10/2/2008 20:00,177,145,126
10/2/2008 21:00,66,51,52
10/2/2008 22:00,113,122,76
10/2/2008 23:00,130,126,96
10/3/2008 0:00,104,104,78
10/3/2008 1:00,68,44,58
10/3/2008 2:00,8,0,6
10/3/2008 3:00,2,0,0
10/3/2008 4:00,0,0,0
10/3/2008 5:00,0,0,0
10/3/2008 6:00,0,0,0
10/3/2008 7:00,0,0,0
10/3/2008 8:00,0,0,0
10/3/2008 9:00,0,0,0
10/3/2008 10:00,0,0,0
10/3/2008 11:00,0,0,0
10/3/2008 12:00,0,0,0
10/3/2008 13:00,0,0,0
10/3/2008 14:00,0,2,0
10/3/2008 15:00,21,22,12
10/3/2008 16:00,47,62,40
10/3/2008 17:00,132,146,114
10/3/2008 18:00,178,225,149
10/3/2008 19:00,311,330,321
10/3/2008 20:00,398,463,346
10/3/2008 21:00,460,464,406
10/3/2008 22:00,516,476,472
10/3/2008 23:00,182,164,153
10/4/2008 0:00,100,79,78
10/4/2008 1:00,45,33,41
10/4/2008 2:00,7,0,6
10/4/2008 3:00,0,0,0
10/4/2008 4:00,0,0,0
10/4/2008 5:00,0,0,0
10/4/2008 6:00,0,0,0
10/4/2008 7:00,0,0,0
10/4/2008 8:00,0,0,0
10/4/2008 9:00,0,0,0
10/4/2008 10:00,0,0,0
10/4/2008 11:00,0,0,0
10/4/2008 12:00,0,0,0
10/4/2008 13:00,0,0,0
10/4/2008 14:00,0,0,0
10/4/2008 15:00,10,18,5
10/4/2008 16:00,38,47,39
10/4/2008 17:00,97,123,78
10/4/2008 18:00,340,354,301
10/4/2008 19:00,295,445,258
10/4/2008 20:00,589,512,506
10/4/2008 21:00,357,461,477
10/4/2008 22:00,571,567,625
10/4/2008 23:00,564,511,561
10/5/2008 0:00,287,194,271
10/5/2008 1:00,91,54,63
10/5/2008 2:00,9,0,8
10/5/2008 3:00,0,0,0
10/5/2008 4:00,0,0,0
10/5/2008 5:00,0,0,0
10/5/2008 6:00,0,0,0
10/5/2008 7:00,0,0,0
10/5/2008 8:00,0,0,0
10/5/2008 9:00,0,0,0
10/5/2008 10:00,0,0,0
10/5/2008 11:00,0,0,0
10/5/2008 12:00,0,0,0
10/5/2008 13:00,0,0,0
10/5/2008 14:00,0,0,0
10/5/2008 15:00,16,20,13
10/5/2008 16:00,88,147,63
10/5/2008 17:00,257,278,206
10/5/2008 18:00,222,234,231
10/5/2008 19:00,324,322,220
10/5/2008 20:00,312,332,198
10/5/2008 21:00,429,399,321
10/5/2008 22:00,250,250,304
10/5/2008 23:00,186,186,201
10/6/2008 0:00,115,83,110
10/6/2008 1:00,35,29,34
10/6/2008 2:00,6,0,4
10/6/2008 3:00,0,0,0
10/6/2008 4:00,0,0,0
10/6/2008 5:00,0,0,0
10/6/2008 6:00,0,0,0
10/6/2008 7:00,0,0,0
10/6/2008 8:00,0,0,0
10/6/2008 9:00,0,0,0
10/6/2008 10:00,0,0,0
10/6/2008 11:00,0,0,0
10/6/2008 12:00,0,0,0
10/6/2008 13:00,0,0,0
10/6/2008 14:00,0,0,0
10/6/2008 15:00,26,40,17
10/6/2008 16:00,119,148,110
10/6/2008 17:00,240,311,207
10/6/2008 18:00,472,507,476
10/6/2008 19:00,400,446,447
10/6/2008 20:00,444,528,633
10/6/2008 21:00,621,640,561
10/6/2008 22:00,588,584,488
10/6/2008 23:00,524,505,459
